농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별총개수,화방별꽃수,화방별꽃봉오리수,화방별개화수,화방별착과수,화방별적과수,화방별수확수,비고
정병두,2024-10-02,3,1,184.7,24.1,14,47.2,41.1,6.94,11.8,1,3,0,0,0,3,0,0,
정병두,2024-10-02,3,1,184.7,24.1,14,47.2,41.1,6.94,11.8,2,10,6,4,2,4,0,0,
정병두,2024-10-02,3,1,184.7,24.1,14,47.2,41.1,6.94,11.8,3,8,5,3,2,3,0,0,
정병두,2024-10-02,3,1,184.7,24.1,14,47.2,41.1,6.94,11.8,4,7,7,6,1,0,0,0,
정병두,2024-10-02,3,1,184.7,24.1,14,47.2,41.1,6.94,11.8,5,5,5,5,0,0,0,0,
정병두,2024-10-02,4,1,212,46.6,15,44,39,9.78,16.6,1,3,0,0,0,3,0,0,
정병두,2024-10-02,4,1,212,46.6,15,44,39,9.78,16.6,2,4,0,0,0,3,1,0,
정병두,2024-10-02,4,1,212,46.6,15,44,39,9.78,16.6,3,6,4,2,2,2,0,0,
정병두,2024-10-02,4,1,212,46.6,15,44,39,9.78,16.6,4,2,2,0,2,0,0,0,
정병두,2024-10-02,4,1,212,46.6,15,44,39,9.78,16.6,5,5,5,5,0,0,0,0,
정병두,2024-10-02,5,1,182.4,22.4,13,34.2,38,8.92,27,1,7,2,0,2,4,1,0,
정병두,2024-10-02,5,1,182.4,22.4,13,34.2,38,8.92,27,2,6,0,0,0,5,1,0,
정병두,2024-10-02,5,1,182.4,22.4,13,34.2,38,8.92,27,3,3,3,0,3,0,0,0,
정병두,2024-10-02,5,1,182.4,22.4,13,34.2,38,8.92,27,4,2,2,2,0,0,0,0,
정병두,2024-10-02,6,1,183.9,25.9,16,46,40.6,12.09,19,1,4,0,0,0,4,0,0,
정병두,2024-10-02,6,1,183.9,25.9,16,46,40.6,12.09,19,2,5,0,0,0,4,1,0,
정병두,2024-10-02,6,1,183.9,25.9,16,46,40.6,12.09,19,3,4,1,0,1,3,0,0,
정병두,2024-10-02,6,1,183.9,25.9,16,46,40.6,12.09,19,4,7,7,5,2,0,0,0,
정병두,2024-10-02,6,1,183.9,25.9,16,46,40.6,12.09,19,5,4,4,4,0,0,0,0,
정병두,2024-10-08,1,1,215.4,20.1,15,49.1,46,9.85,34,1,7,0,0,0,3,4,0,
정병두,2024-10-08,1,1,215.4,20.1,15,49.1,46,9.85,34,2,8,2,1,1,5,1,0,
정병두,2024-10-08,1,1,215.4,20.1,15,49.1,46,9.85,34,3,5,4,2,2,1,0,0,
정병두,2024-10-08,1,1,215.4,20.1,15,49.1,46,9.85,34,4,6,6,6,0,0,0,0,
정병두,2024-10-08,1,1,215.4,20.1,15,49.1,46,9.85,34,5,4,4,4,0,0,0,0,
정병두,2024-10-08,2,1,199.2,21,12,38.1,46,14.12,45,1,6,0,0,0,4,2,0,
정병두,2024-10-08,2,1,199.2,21,12,38.1,46,14.12,45,2,4,0,0,0,2,2,0,
정병두,2024-10-08,2,1,199.2,21,12,38.1,46,14.12,45,3,5,2,0,2,3,0,0,
정병두,2024-10-08,2,1,199.2,21,12,38.1,46,14.12,45,4,11,11,11,0,0,0,0,
정병두,2024-10-08,2,1,199.2,21,12,38.1,46,14.12,45,5,5,5,5,0,0,0,0,
정병두,2024-10-08,3,1,199.2,14.5,14,46.9,42.3,10.63,24.5,1,3,0,0,0,3,0,0,
정병두,2024-10-08,3,1,199.2,14.5,14,46.9,42.3,10.63,24.5,2,10,5,3,2,5,0,0,
정병두,2024-10-08,3,1,199.2,14.5,14,46.9,42.3,10.63,24.5,3,8,3,2,1,5,0,0,
정병두,2024-10-08,3,1,199.2,14.5,14,46.9,42.3,10.63,24.5,4,12,12,10,2,0,0,0,
정병두,2024-10-08,3,1,199.2,14.5,14,46.9,42.3,10.63,24.5,5,5,5,5,0,0,0,0,
정병두,2024-10-08,4,1,226.8,14.8,14,45,32,11.27,30.5,1,3,0,0,0,3,0,0,
정병두,2024-10-08,4,1,226.8,14.8,14,45,32,11.27,30.5,2,4,0,0,0,3,1,0,
정병두,2024-10-08,4,1,226.8,14.8,14,45,32,11.27,30.5,3,6,1,0,1,5,0,0,
정병두,2024-10-08,4,1,226.8,14.8,14,45,32,11.27,30.5,4,2,0,0,0,2,0,0,
정병두,2024-10-08,4,1,226.8,14.8,14,45,32,11.27,30.5,5,7,7,7,0,0,0,0,
정병두,2024-10-08,5,1,204.4,22,14,37,42.5,9.77,48.5,1,7,0,0,0,4,3,0,
정병두,2024-10-08,5,1,204.4,22,14,37,42.5,9.77,48.5,2,6,0,0,0,3,3,0,
정병두,2024-10-08,5,1,204.4,22,14,37,42.5,9.77,48.5,3,3,0,0,0,3,0,0,
정병두,2024-10-08,5,1,204.4,22,14,37,42.5,9.77,48.5,4,2,2,2,0,0,0,0,
정병두,2024-10-08,5,1,204.4,22,14,37,42.5,9.77,48.5,5,4,4,4,0,0,0,0,
정병두,2024-10-08,6,1,198.1,14.2,14,45.8,45.2,14.3,32.2,1,4,0,0,0,4,0,0,
정병두,2024-10-08,6,1,198.1,14.2,14,45.8,45.2,14.3,32.2,2,5,0,0,0,4,1,0,
정병두,2024-10-08,6,1,198.1,14.2,14,45.8,45.2,14.3,32.2,3,4,0,0,0,4,0,0,
정병두,2024-10-08,6,1,198.1,14.2,14,45.8,45.2,14.3,32.2,4,10,8,5,3,2,0,0,
정병두,2024-10-08,6,1,198.1,14.2,14,45.8,45.2,14.3,32.2,5,4,0,0,0,4,0,0,
정병두,2024-10-16,1,1,265.3,49.9,16,47.1,44,11.64,24.5,1,7,0,0,0,3,4,0,
정병두,2024-10-16,1,1,265.3,49.9,16,47.1,44,11.64,24.5,2,8,0,0,0,5,3,0,
정병두,2024-10-16,1,1,265.3,49.9,16,47.1,44,11.64,24.5,3,5,1,0,1,4,0,0,
정병두,2024-10-16,1,1,265.3,49.9,16,47.1,44,11.64,24.5,4,8,8,5,3,0,0,0,
정병두,2024-10-16,1,1,265.3,49.9,16,47.1,44,11.64,24.5,5,6,6,6,0,0,0,0,
정병두,2024-10-16,1,1,265.3,49.9,16,47.1,44,11.64,24.5,6,4,4,4,0,0,0,0,
정병두,2024-10-16,2,1,227.3,28.1,13,46.5,43.2,13.38,32.2,1,6,0,0,0,3,3,0,
정병두,2024-10-16,2,1,227.3,28.1,13,46.5,43.2,13.38,32.2,2,4,0,0,0,2,2,0,
정병두,2024-10-16,2,1,227.3,28.1,13,46.5,43.2,13.38,32.2,3,5,0,0,0,5,0,0,
정병두,2024-10-16,2,1,227.3,28.1,13,46.5,43.2,13.38,32.2,4,15,15,13,2,0,0,0,
정병두,2024-10-16,2,1,227.3,28.1,13,46.5,43.2,13.38,32.2,5,7,7,7,0,0,0,0,
정병두,2024-10-16,2,1,227.3,28.1,13,46.5,43.2,13.38,32.2,6,3,3,3,0,0,0,0,
정병두,2024-10-16,3,1,223.2,24,13,53.3,52,11.38,14.9,1,3,0,0,0,2,1,0,
정병두,2024-10-16,3,1,223.2,24,13,53.3,52,11.38,14.9,2,10,0,0,0,3,7,0,
정병두,2024-10-16,3,1,223.2,24,13,53.3,52,11.38,14.9,3,8,1,1,0,6,1,0,
정병두,2024-10-16,3,1,223.2,24,13,53.3,52,11.38,14.9,4,12,8,4,4,3,1,0,
정병두,2024-10-16,3,1,223.2,24,13,53.3,52,11.38,14.9,5,10,10,8,2,0,0,0,
정병두,2024-10-16,3,1,223.2,24,13,53.3,52,11.38,14.9,6,4,4,4,0,0,0,0,
정병두,2024-10-16,4,1,247.7,20.9,12,46.6,41.2,7.72,14.2,1,3,0,0,0,1,2,0,
정병두,2024-10-16,4,1,247.7,20.9,12,46.6,41.2,7.72,14.2,2,4,0,0,0,1,3,0,
정병두,2024-10-16,4,1,247.7,20.9,12,46.6,41.2,7.72,14.2,3,6,0,0,0,4,2,0,
정병두,2024-10-16,4,1,247.7,20.9,12,46.6,41.2,7.72,14.2,4,2,0,0,0,2,0,0,
정병두,2024-10-16,4,1,247.7,20.9,12,46.6,41.2,7.72,14.2,5,8,8,6,2,0,0,0,
정병두,2024-10-16,4,1,247.7,20.9,12,46.6,41.2,7.72,14.2,6,7,7,7,0,0,0,0,
정병두,2024-10-16,5,1,233.4,29,13,41.8,43,14.02,43.2,1,7,0,0,0,2,5,0,
정병두,2024-10-16,5,1,233.4,29,13,41.8,43,14.02,43.2,2,6,0,0,0,2,4,0,
정병두,2024-10-16,5,1,233.4,29,13,41.8,43,14.02,43.2,3,3,0,0,0,3,0,0,
정병두,2024-10-16,5,1,233.4,29,13,41.8,43,14.02,43.2,4,2,0,0,0,2,0,0,
정병두,2024-10-16,5,1,233.4,29,13,41.8,43,14.02,43.2,5,6,6,6,0,0,0,0,
정병두,2024-10-16,5,1,233.4,29,13,41.8,43,14.02,43.2,6,3,3,3,0,0,0,0,
정병두,2024-10-16,6,1,231.6,33.5,14,48,44,11.6,20,1,4,0,0,0,4,0,0,
정병두,2024-10-16,6,1,231.6,33.5,14,48,44,11.6,20,2,5,0,0,0,2,3,0,
정병두,2024-10-16,6,1,231.6,33.5,14,48,44,11.6,20,3,4,0,0,0,4,0,0,
정병두,2024-10-16,6,1,231.6,33.5,14,48,44,11.6,20,4,10,3,1,2,6,1,0,
정병두,2024-10-16,6,1,231.6,33.5,14,48,44,11.6,20,5,8,4,2,2,0,4,0,
정병두,2024-10-16,6,1,231.6,33.5,14,48,44,11.6,20,6,5,5,5,0,0,0,0,
정병두,2024-10-23,1,1,287.3,22,16,51.3,41,8.21,12.3,1,7,0,0,0,3,4,0,
정병두,2024-10-23,1,1,287.3,22,16,51.3,41,8.21,12.3,2,8,0,0,0,5,3,0,
정병두,2024-10-23,1,1,287.3,22,16,51.3,41,8.21,12.3,3,5,0,0,0,3,2,0,
정병두,2024-10-23,1,1,287.3,22,16,51.3,41,8.21,12.3,4,8,0,0,0,4,4,0,
정병두,2024-10-23,1,1,287.3,22,16,51.3,41,8.21,12.3,5,6,6,4,2,0,0,0,
정병두,2024-10-23,1,1,287.3,22,16,51.3,41,8.21,12.3,6,6,6,6,0,0,0,0,
정병두,2024-10-23,2,1,248.5,21.2,13,52.3,52,7.73,16.2,1,6,0,0,0,3,3,0,
정병두,2024-10-23,2,1,248.5,21.2,13,52.3,52,7.73,16.2,2,4,0,0,0,2,2,0,
정병두,2024-10-23,2,1,248.5,21.2,13,52.3,52,7.73,16.2,3,5,0,0,0,5,0,0,
정병두,2024-10-23,2,1,248.5,21.2,13,52.3,52,7.73,16.2,4,15,0,0,0,4,11,0,
정병두,2024-10-23,2,1,248.5,21.2,13,52.3,52,7.73,16.2,5,7,4,1,3,0,3,0,
정병두,2024-10-23,2,1,248.5,21.2,13,52.3,52,7.73,16.2,6,5,5,5,0,0,0,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,1,3,0,0,0,2,1,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,2,10,0,0,0,3,7,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,3,8,0,0,0,4,4,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,4,12,0,0,0,3,9,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,5,10,0,0,0,4,6,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,6,5,5,5,0,0,0,0,
정병두,2024-10-23,3,1,239,15.8,14,47,52,10.41,29.8,7,3,3,3,0,0,0,0,
정병두,2024-10-23,4,1,274.7,27,14,48,42,9.93,20.4,1,3,0,0,0,1,2,0,
정병두,2024-10-23,4,1,274.7,27,14,48,42,9.93,20.4,2,4,0,0,0,1,3,0,
정병두,2024-10-23,4,1,274.7,27,14,48,42,9.93,20.4,3,6,0,0,0,4,2,0,
정병두,2024-10-23,4,1,274.7,27,14,48,42,9.93,20.4,4,2,0,0,0,2,0,0,
정병두,2024-10-23,4,1,274.7,27,14,48,42,9.93,20.4,5,8,0,0,0,4,4,0,
정병두,2024-10-23,4,1,274.7,27,14,48,42,9.93,20.4,6,7,7,7,0,0,0,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,1,7,0,0,0,2,5,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,2,6,0,0,0,2,4,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,3,3,0,0,0,1,2,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,4,2,0,0,0,2,0,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,5,6,3,1,2,1,2,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,6,6,6,6,0,0,0,0,
정병두,2024-10-23,5,1,257.9,24.5,15,50,52,14.22,31,7,4,4,4,0,0,0,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,1,4,0,0,0,4,0,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,2,5,0,0,0,2,3,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,3,4,0,0,0,3,1,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,4,10,0,0,0,4,6,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,5,8,0,0,0,3,5,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,6,5,5,4,1,0,0,0,
정병두,2024-10-23,6,1,264.8,33.2,15,47,34,6.7,6,7,4,4,4,0,0,0,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,1,7,0,0,0,3,4,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,2,8,0,0,0,5,3,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,3,5,0,0,0,3,2,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,4,8,0,0,0,4,4,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,5,8,5,4,1,3,0,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,6,8,8,8,0,0,0,0,
정병두,2024-10-31,1,1,306.3,19,13,51.5,42,10.73,31,7,5,5,5,0,0,0,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,1,6,0,0,0,3,3,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,2,4,0,0,0,2,2,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,3,5,0,0,0,4,1,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,4,15,0,0,0,4,11,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,5,7,0,0,0,4,3,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,6,5,5,3,2,0,0,0,
정병두,2024-10-31,2,1,271,22.5,12,51.5,46,6.95,9,7,5,5,5,0,0,0,0,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,1,3,0,0,0,1,1,1,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,2,10,0,0,0,3,7,0,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,3,8,0,0,0,4,4,0,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,4,12,0,0,0,3,9,0,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,5,10,0,0,0,4,6,0,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,6,5,5,3,2,0,0,0,
정병두,2024-10-31,3,1,250,11,13,44.9,40,5.71,6,7,4,4,4,0,0,0,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,1,3,0,0,0,1,2,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,2,4,0,0,0,1,3,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,3,6,0,0,0,4,2,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,4,2,0,0,0,2,0,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,5,8,0,0,0,4,4,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,6,7,5,5,0,0,2,0,
정병두,2024-10-31,4,1,290.7,16,12,47.1,41,10.01,30,7,4,4,4,0,0,0,0,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,1,7,0,0,0,1,5,1,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,2,6,0,0,0,1,5,0,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,3,3,0,0,0,1,2,0,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,4,2,0,0,0,2,0,0,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,5,7,4,0,4,0,3,0,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,6,7,7,5,2,0,0,0,
정병두,2024-10-31,5,1,280.7,22.8,15,50,43.6,9.36,12.6,7,4,4,4,0,0,0,0,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,1,4,0,0,0,4,0,0,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,2,5,0,0,0,1,3,1,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,3,4,0,0,0,3,1,0,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,4,10,0,0,0,4,6,0,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,5,8,0,0,0,3,5,0,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,6,5,3,2,1,2,0,0,
정병두,2024-10-31,6,1,276.3,11.5,12,46.6,34,7.92,17,7,4,4,4,0,0,0,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,1,7,0,0,0,2,4,1,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,2,8,0,0,0,5,3,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,3,5,0,0,0,3,2,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,4,8,0,0,0,4,4,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,5,8,3,2,1,4,1,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,6,8,8,5,3,0,0,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,7,5,5,5,0,0,0,0,
정병두,2024-11-06,1,1,324.2,17.9,12,51,40,10.12,21.5,8,3,3,3,0,0,0,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,1,6,0,0,0,0,3,3,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,2,4,0,0,0,2,2,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,3,5,0,0,0,4,1,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,4,15,0,0,0,4,11,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,5,7,0,0,0,4,3,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,6,5,3,2,1,2,0,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,7,5,5,5,0,0,0,0,
정병두,2024-11-06,2,1,290.5,19.5,12,50,46,9.57,26.6,8,4,4,4,0,0,0,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,1,3,0,0,0,0,1,2,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,2,10,0,0,0,3,7,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,3,8,0,0,0,4,4,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,4,12,0,0,0,3,9,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,5,10,0,0,0,4,6,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,6,5,3,3,0,2,0,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,7,5,5,5,0,0,0,0,
정병두,2024-11-06,3,1,265.9,15.9,12,45.2,44.2,8.2,21.5,8,3,3,3,0,0,0,0,
정병두,2024-11-06,4,1,304.2,13.5,9,47.5,42.5,9.77,44,1,3,0,0,0,0,2,1,
