농가명,측정시간,온도_외부,풍향_외부,풍속_외부,일사량_외부,누적일사량_외부,강우감지,온도_내부,상대습도_내부,잔존CO2,토양온도,비고
정병두,2024.8.21 6:00,26.5,0,0,0,0,0,27.9,99.7,380,0,
정병두,2024.8.21 7:00,27.7,180,0,38,4,1,28.3,99.6,385,0,
정병두,2024.8.21 8:00,28.4,0,0,76,24,0,29.1,99.6,395,0,
정병두,2024.8.21 9:00,29.4,0,0,185,69,0,31,99.3,409,0,
정병두,2024.8.21 10:00,30.3,0,0,112,145,0,32.2,100,412,0,
정병두,2024.8.21 11:00,29.1,0,0,289,203,0,32,99.7,406,0,
정병두,2024.8.21 12:00,31,0,0,432,352,0,34,99.3,410,0,
정병두,2024.8.21 13:00,31,0,0.9,564,500,0,34.3,99.7,416,0,
정병두,2024.8.21 14:00,32.8,180,0,603,699,0,36.6,99.8,410,0,
정병두,2024.8.21 15:00,33.1,0,1.3,410,842,0,35.7,99.9,410,0,
정병두,2024.8.21 16:00,34.1,0,1.4,504,998,0,37.1,99.4,408,0,
정병두,2024.8.21 17:00,33.5,0,0,201,1114,0,36.4,99.9,404,0,
정병두,2024.8.21 18:00,31.5,0,1.5,71,1160,0,33.2,100,397,0,
정병두,2024.8.21 19:00,30.4,0,0,23,1173,0,31.2,99.7,400,0,
정병두,2024.8.21 20:00,29.8,0,0,0,1174,0,30.2,99.8,393,0,
정병두,2024.8.21 21:00,29.4,0,0,0,1174,0,29.6,99.6,399,0,
정병두,2024.8.21 22:00,28.8,0,0,0,1174,0,29.2,99.6,400,0,
정병두,2024.8.21 23:00,27.4,0,0,0,1174,0,28.2,99.8,396,0,
정병두,2024.8.22 0:00,27.4,0,0,0,1174,0,27.7,99.9,393,0,
정병두,2024.8.22 1:00,27.4,0,0,0,1174,0,27.6,99.6,395,0,
정병두,2024.8.22 2:00,27.5,0,0,0,1174,0,28,99.6,400,0,
정병두,2024.8.22 3:00,26.6,0,0,0,1174,0,28,99.2,399,0,
정병두,2024.8.22 4:00,26.6,0,0,0,1174,0,27.7,99.6,405,0,
정병두,2024.8.22 5:00,27.6,0,0,0,1174,0,27.8,99.5,392,0,
정병두,2024.8.22 6:00,27.6,0,0,5,0,0,27.6,99.6,391,0,
정병두,2024.8.22 7:00,28.7,0,0,176,23,0,29.3,99.6,398,0,
정병두,2024.8.22 8:00,30.1,0,2.3,435,134,0,32.4,99.6,410,0,
정병두,2024.8.22 9:00,31.5,0,1.4,258,290,0,33.9,99.6,413,0,
정병두,2024.8.22 10:00,31,0,2.2,82,390,0,32.5,100,411,0,
정병두,2024.8.22 11:00,29,0,1.1,381,433,0,31.4,99.6,397,0,
정병두,2024.8.22 12:00,31.1,0,1.6,682,626,0,34.3,99,415,0,
정병두,2024.8.22 13:00,32.6,0,1.3,472,844,0,35.3,99.3,412,0,
정병두,2024.8.22 14:00,33.7,0,2.1,629,1103,0,37.3,99.7,414,0,
정병두,2024.8.22 15:00,29,0,1.5,179,1195,1,32.6,100,400,0,
정병두,2024.8.22 16:00,26.8,0,5,11,1273,1,30.1,100,404,0,
정병두,2024.8.22 17:00,28.8,0,1.5,415,1324,0,32.7,97.8,403,0,
정병두,2024.8.22 18:00,29.3,0,1.1,97,1394,0,31.7,100,398,0,
정병두,2024.8.22 19:00,28.3,0,0.7,20,1420,0,30.1,100,390,0,
정병두,2024.8.22 20:00,27.4,0,2.1,0,1421,0,28.5,99.6,389,0,
정병두,2024.8.22 21:00,26.2,0,0,4,1422,0,27.3,99.6,391,0,
정병두,2024.8.22 22:00,26.3,0,0,2,1423,0,27,99.6,401,0,
정병두,2024.8.22 23:00,25.8,0,0,4,1425,0,27,99.6,428,0,
정병두,2024.8.23 0:00,25.8,0,0,2,1426,0,26.7,99.6,424,0,
정병두,2024.8.23 1:00,25.1,0,0,2,1427,0,26.3,99.6,442,0,
정병두,2024.8.23 2:00,24.9,0,0,3,1428,0,26.1,99.6,428,0,
정병두,2024.8.23 3:00,24.7,0,0,3,1429,0,25.5,99.6,413,0,
정병두,2024.8.23 4:00,24.4,0,0,2,1430,0,25.5,99.6,391,0,
정병두,2024.8.23 5:00,25,0,0,2,1432,0,25.7,99.6,362,0,
정병두,2024.8.23 6:00,24.9,0,0,8,0,0,25.7,99.6,374,0,
정병두,2024.8.23 7:00,25.1,0,0,76,12,0,26,99.4,383,0,
정병두,2024.8.23 8:00,26.9,0,0,371,102,0,29.3,99,411,0,
정병두,2024.8.23 9:00,28.8,0,0,540,261,0,31.7,99.7,420,0,
정병두,2024.8.23 10:00,29.6,0,0,276,428,0,33.3,99.8,410,0,
정병두,2024.8.23 11:00,30.6,0,0,829,615,0,35.8,99.2,409,0,
정병두,2024.8.23 12:00,33.8,0,0,882,915,0,37.5,100,419,0,
정병두,2024.8.23 13:00,32.5,0,1.9,868,1216,0,38.5,100,424,0,
정병두,2024.8.23 14:00,33.1,0,1.4,799,1509,0,38.5,99.8,419,0,
정병두,2024.8.23 15:00,33.4,0,1.5,646,1769,0,37.6,100,407,0,
정병두,2024.8.23 16:00,32.5,0,2.3,491,1980,0,36.6,100,411,0,
정병두,2024.8.23 17:00,31.5,0,1.5,237,2117,0,36.1,100,422,0,
정병두,2024.8.23 18:00,30.5,0,0,96,2184,0,33.2,100,409,0,
정병두,2024.8.23 19:00,29.1,0,0,11,2202,0,30.5,100,400,0,
정병두,2024.8.23 20:00,27.4,0,0,0,2203,0,28.4,99.7,415,0,
정병두,2024.8.23 21:00,26.7,0,0,0,2203,0,27.6,99.6,425,0,
정병두,2024.8.23 22:00,26.3,0,0,0,2203,0,27.3,99.7,440,0,
정병두,2024.8.23 23:00,26.5,0,0,0,2203,0,27.1,99.6,441,0,
정병두,2024.8.24 0:00,26.7,0,0,0,2203,0,27.2,99.9,430,0,
정병두,2024.8.24 1:00,26.4,0,0,0,2203,0,26.9,99.6,414,0,
정병두,2024.8.24 2:00,25.8,0,0,0,2203,0,26.6,99.7,424,0,
정병두,2024.8.24 3:00,25.8,0,0,0,2203,0,26.5,99.6,426,0,
정병두,2024.8.24 4:00,25.5,0,0,0,2203,0,26.4,99.6,412,0,
정병두,2024.8.24 5:00,25,180,0,0,2203,1,26.8,99.6,390,0,
정병두,2024.8.24 6:00,25,180,0,0,0,1,26.8,99.6,361,0,
정병두,2024.8.24 7:00,25.1,180,0,35,3,0,26.7,99.6,372,0,
정병두,2024.8.24 8:00,25.3,180,0,134,38,0,28.5,98.9,418,0,
정병두,2024.8.24 9:00,28,180,0,396,134,0,30.9,99.3,446,0,
정병두,2024.8.24 10:00,29.8,180,0,596,311,0,34,99.9,433,0,
정병두,2024.8.24 11:00,33.1,0,0,824,571,0,34.9,99.8,418,0,
정병두,2024.8.24 12:00,32.3,0,0,412,851,0,35.7,100,418,0,
정병두,2024.8.24 13:00,35,0,0,830,1146,0,36.9,99.7,407,0,
정병두,2024.8.24 14:00,35,0,0,768,1415,0,37.5,100,410,0,
정병두,2024.8.24 15:00,33.5,0,1.1,643,1671,0,38.3,100,411,0,
정병두,2024.8.24 16:00,31.4,0,0,160,1763,0,34.1,99.7,394,0,
정병두,2024.8.24 17:00,32.5,0,0,257,1867,0,36.1,100,413,0,
정병두,2024.8.24 18:00,31,0,1.4,105,1930,0,33.4,100,404,0,
정병두,2024.8.24 19:00,28.8,0,0,8,1947,0,30.1,99.9,398,0,
정병두,2024.8.24 20:00,27.7,0,0,0,1947,0,28.4,99.8,400,0,
정병두,2024.8.24 21:00,27.1,0,0,0,1947,0,27.9,99.2,400,0,
정병두,2024.8.24 22:00,26.5,0,0,0,1947,0,27.2,99.7,439,0,
정병두,2024.8.24 23:00,26.1,0,0,0,1947,0,27,99.5,441,0,
정병두,2024.8.25 0:00,25.7,0,0,0,1947,0,26.6,99.6,450,0,
정병두,2024.8.25 1:00,25.2,0,0,0,1947,0,26.3,99.8,452,0,
정병두,2024.8.25 2:00,25.4,0,0,0,1947,0,26.2,99.6,422,0,
정병두,2024.8.25 3:00,24.9,0,0,0,1947,0,25.7,99.6,426,0,
정병두,2024.8.25 4:00,25.2,0,0,0,1947,0,25.9,99.2,390,0,
정병두,2024.8.25 5:00,24.8,0,0,0,1947,0,25.5,99.6,394,0,
정병두,2024.8.25 6:00,24.6,0,0,2,0,0,25.5,99.4,432,0,
정병두,2024.8.25 7:00,25.3,0,0,122,16,0,26.5,98.9,404,0,
정병두,2024.8.25 8:00,27.4,0,0,226,96,0,29.6,99.6,446,0,
정병두,2024.8.25 9:00,28.1,0,0,116,167,0,30.1,100,436,0,
정병두,2024.8.25 10:00,29.1,0,0,408,242,0,32.4,99.6,436,0,
정병두,2024.8.25 11:00,33.4,0,0,599,430,0,35.2,100,433,0,
정병두,2024.8.25 12:00,31.4,0,0,444,619,0,34.7,99.7,414,0,
정병두,2024.8.25 13:00,31.4,0,0,377,767,0,34.4,99.7,411,0,
정병두,2024.8.25 14:00,31.1,0,0.8,335,908,0,34.9,99.7,410,0,
정병두,2024.8.25 15:00,33,0,0,622,1062,0,36.4,99,413,0,
정병두,2024.8.25 16:00,32.5,0,0,380,1231,0,36.1,99.3,410,0,
정병두,2024.8.25 17:00,32.2,0,0,268,1318,0,35.3,99.7,408,0,
정병두,2024.8.25 18:00,30.3,0,0.9,76,1377,0,32.6,100,405,0,
정병두,2024.8.25 19:00,28.8,0,0,5,1392,0,29.9,100,401,0,
정병두,2024.8.25 20:00,27.7,0,0,0,1392,0,28.3,99.7,401,0,
정병두,2024.8.25 21:00,27.1,0,0,0,1392,0,28.1,100,410,0,
정병두,2024.8.25 22:00,26.5,0,0,0,1392,0,27.2,99.6,439,0,
정병두,2024.8.25 23:00,26,0,0,0,1392,0,26.7,99.6,455,0,
정병두,2024.8.26 0:00,26.1,0,0,0,1392,0,26.8,99.7,419,0,
정병두,2024.8.26 1:00,25.8,0,0,0,1392,0,26.6,99.6,419,0,
정병두,2024.8.26 2:00,25,0,0,0,1392,0,25.8,99.6,418,0,
정병두,2024.8.26 3:00,25,0,0,0,1392,0,25.9,99.2,390,0,
정병두,2024.8.26 4:00,24.9,0,0,0,1392,0,25.9,99.4,402,0,
정병두,2024.8.26 5:00,25,0,0,0,1392,0,25.7,99.6,397,0,
정병두,2024.8.26 6:00,24.8,0,0,2,0,0,25.5,99.6,391,0,
정병두,2024.8.26 7:00,25.6,0,0,116,17,0,26.8,99.2,397,0,
정병두,2024.8.26 8:00,26.8,0,0,231,85,0,29.4,99.6,444,0,
정병두,2024.8.26 9:00,29.1,0,0,503,203,0,31.6,99.6,430,0,
정병두,2024.8.26 10:00,31,0,0,456,369,0,32.8,99.7,442,0,
정병두,2024.8.26 11:00,32.3,0,0,899,628,0,36.1,98.9,426,0,
정병두,2024.8.26 12:00,33.1,0,0,848,836,0,36.2,99.7,417,0,
정병두,2024.8.26 13:00,32.7,0,0,885,1132,0,37,100,415,0,
정병두,2024.8.26 14:00,33.6,0,0,830,1397,0,37.6,100,407,0,
정병두,2024.8.26 15:00,33,0,0.9,348,1618,0,36.3,100,408,0,
정병두,2024.8.26 16:00,32,0,2.4,544,1752,0,35.8,100,416,0,
정병두,2024.8.26 17:00,31.1,0,1.5,140,1867,0,33.7,100,410,0,
정병두,2024.8.26 18:00,30.1,0,0,61,1911,0,32,100,400,0,
정병두,2024.8.26 19:00,29.2,0,0,5,1926,0,30.4,99.9,402,0,
정병두,2024.8.26 20:00,27.8,0,0,0,1926,0,28.8,99.8,420,0,
정병두,2024.8.26 21:00,27.4,0,0,0,1926,0,28.2,99.6,430,0,
정병두,2024.8.26 22:00,27,0,0,0,1926,0,27.8,99.2,420,0,
정병두,2024.8.26 23:00,27.2,0,0,0,1926,0,28.1,99.7,422,0,
정병두,2024.8.27 0:00,26.8,0,0,0,1926,0,27.5,99.6,415,0,
정병두,2024.8.27 1:00,26.5,0,0,0,1926,0,27.2,99.6,415,0,
정병두,2024.8.27 2:00,25.7,0,0,0,1926,0,26.5,99.6,426,0,
정병두,2024.8.27 3:00,25.7,0,0,0,1926,0,26.5,99.6,408,0,
정병두,2024.8.27 4:00,25.5,0,0,0,1926,0,26.3,99.7,404,0,
정병두,2024.8.27 5:00,25.4,0,0,0,1926,0,26.1,99.6,425,0,
정병두,2024.8.27 6:00,25.7,0,0,0,0,0,26.2,99.6,393,0,
정병두,2024.8.27 7:00,25.8,0,0,29,5,0,26.6,99.5,400,0,
정병두,2024.8.27 8:00,26.3,0,0,78,31,0,27.7,99.6,441,0,
정병두,2024.8.27 9:00,27.7,0,0,257,90,0,29.6,99.6,453,0,
정병두,2024.8.27 10:00,28.6,0,0,245,180,0,31.6,99.6,453,0,
정병두,2024.8.27 11:00,30.8,0,0,546,300,0,33.5,99.7,444,0,
정병두,2024.8.27 12:00,30.4,0,0.7,545,475,0,34.7,100,422,0,
정병두,2024.8.27 13:00,30.7,0,0,330,606,0,34.8,99.3,413,0,
정병두,2024.8.27 14:00,29.7,180,0,281,689,0,33.1,99.3,415,0,
정병두,2024.8.27 15:00,29.7,180,0,152,766,0,32.7,99.5,408,0,
정병두,2024.8.27 16:00,29.6,180,0,87,813,1,31.2,99.6,405,0,
정병두,2024.8.27 17:00,28.7,180,0,99,848,1,30.5,99.8,404,0,
정병두,2024.8.27 18:00,27.1,180,0.3,43,874,1,28.6,99.6,409,0,
정병두,2024.8.27 19:00,28.1,180,0.3,11,885,0,28.8,99.6,403,0,
정병두,2024.8.27 20:00,27.5,180,0,0,885,0,28.3,99.6,398,0,
정병두,2024.8.27 21:00,28,180,0,0,885,0,28.1,99.6,389,0,
정병두,2024.8.27 22:00,27.3,180,0,0,885,0,27.6,99.9,386,0,
정병두,2024.8.27 23:00,26.9,180,0,0,885,0,27.2,99.6,383,0,
정병두,2024.8.28 0:00,26.3,180,0,0,885,0,26.6,99.7,377,0,
정병두,2024.8.28 1:00,26,180,0,0,885,0,26.2,99.6,378,0,
정병두,2024.8.28 2:00,25.5,180,0,0,885,0,25.7,99.4,374,0,
정병두,2024.8.28 3:00,24.9,180,0,0,885,0,25.2,99.6,370,0,
정병두,2024.8.28 4:00,24.2,180,0,0,885,0,24.6,99.6,372,0,
정병두,2024.8.28 5:00,24.1,180,0,0,885,0,24.5,99.6,368,0,
정병두,2024.8.28 6:00,24,180,0,2,0,0,24.4,99.6,368,0,
정병두,2024.8.28 7:00,24.6,180,0,142,12,0,25.1,99.6,371,0,
정병두,2024.8.28 8:00,26.7,180,0,350,102,0,30,98.9,396,0,
정병두,2024.8.28 9:00,28.1,180,0,536,263,0,32.4,99.6,398,0,
정병두,2024.8.28 10:00,30.4,180,0,687,485,0,33.6,99.7,408,0,
정병두,2024.8.28 11:00,31.1,180,0,786,751,0,35.2,99.7,403,0,
정병두,2024.8.28 12:00,32.3,180,0,856,1041,0,36.3,100,406,0,
정병두,2024.8.28 13:00,32.7,180,0,903,1317,0,38,100,421,0,
정병두,2024.8.28 14:00,32.3,180,1.9,309,1587,0,37.9,100,410,0,
정병두,2024.8.28 15:00,32.6,180,2.5,628,1834,0,36.8,100,409,0,
정병두,2024.8.28 16:00,32.7,180,2.3,458,2029,0,36.8,100,405,0,
정병두,2024.8.28 17:00,31.5,180,1.4,295,2161,0,34.7,100,411,0,
정병두,2024.8.28 18:00,31,180,1.4,84,2231,0,32.7,100,394,0,
정병두,2024.8.28 19:00,29.6,180,1,5,2244,0,30.2,100,391,0,
정병두,2024.8.28 20:00,28.6,180,0,0,2245,0,28.8,99.3,382,0,
정병두,2024.8.28 21:00,27.8,180,0,0,2245,0,27.7,99.6,382,0,
정병두,2024.8.28 22:00,27.3,180,0,0,2245,0,27.3,99.6,380,0,
정병두,2024.8.28 23:00,26.8,180,0,0,2245,0,26.6,99.6,380,0,
정병두,2024.8.29 0:00,26.5,180,0,0,2245,0,26.6,99.4,376,0,
정병두,2024.8.29 1:00,26.4,180,0.6,0,2245,0,26.4,99.4,372,0,
정병두,2024.8.29 2:00,26,180,1.7,0,2245,0,26.1,98.9,374,0,
정병두,2024.8.29 3:00,25.5,180,0.4,0,2245,0,25.6,100,374,0,
정병두,2024.8.29 4:00,25.2,180,0,0,2245,0,25.1,99.3,372,0,
정병두,2024.8.29 5:00,25.6,180,1.8,0,2245,0,25.5,99.6,371,0,
정병두,2024.8.29 6:00,25,180,0,2,0,0,25.1,99.6,371,0,
정병두,2024.8.29 7:00,26,180,0,157,21,0,26.8,99.4,379,0,
정병두,2024.8.29 8:00,26.5,180,1.5,368,117,0,29.8,99.3,393,0,
정병두,2024.8.29 9:00,28.5,180,1.4,546,283,0,32.9,99,402,0,
정병두,2024.8.29 10:00,31.1,180,1.4,694,507,0,34,100,402,0,
정병두,2024.8.29 11:00,31.6,180,0.6,792,776,0,35.7,99.5,409,0,
정병두,2024.8.29 12:00,33.6,180,3,897,1074,0,38.8,99.2,421,0,
정병두,2024.8.29 13:00,33.5,180,1.8,871,1362,0,38,100,421,0,
정병두,2024.8.29 14:00,33.7,180,1.7,368,1610,0,37.3,99.2,410,0,
정병두,2024.8.29 15:00,34.5,180,1.2,724,1777,0,37,100,403,0,
정병두,2024.8.29 16:00,33.7,180,3.2,506,1984,0,38.1,100,411,0,
정병두,2024.8.29 17:00,33.2,180,2.2,298,2125,0,36.5,100,411,0,
정병두,2024.8.29 18:00,32.1,180,1.2,81,2196,0,34.3,100,405,0,
정병두,2024.8.29 19:00,29.8,180,0,5,2207,0,30.6,100,388,0,
정병두,2024.8.29 20:00,28.5,180,0,0,2207,0,29,99.7,391,0,
정병두,2024.8.29 21:00,27.5,180,0,0,2207,0,27.7,99.6,389,0,
정병두,2024.8.29 22:00,26.7,180,0,0,2207,0,27.1,99.7,383,0,
정병두,2024.8.29 23:00,26.3,180,0,0,2207,0,26.6,99.6,390,0,
정병두,2024.8.30 0:00,25.5,180,0,0,2207,0,25.7,99.7,394,0,
정병두,2024.8.30 1:00,25.5,180,0,0,2207,0,25.6,99.7,386,0,
정병두,2024.8.30 2:00,24.8,180,0,0,2207,0,25.3,99.6,380,0,
정병두,2024.8.30 3:00,24.6,180,0,0,2207,0,25.1,99.6,383,0,
정병두,2024.8.30 4:00,24,180,0,0,2207,0,24.6,99.6,383,0,
정병두,2024.8.30 5:00,23.7,180,0,0,2207,0,24.3,99.6,382,0,
정병두,2024.8.30 6:00,23.4,180,0,2,2207,0,24.1,99.6,383,0,
정병두,2024.8.30 7:00,24.6,180,0,152,20,0,25.2,99.1,391,0,
정병두,2024.8.30 8:00,25.9,180,0,362,114,0,29.9,99.1,411,0,
정병두,2024.8.30 9:00,28.4,180,0,543,278,0,32,99.9,410,0,
정병두,2024.8.30 10:00,29.6,180,1.1,689,501,0,33.4,99.3,414,0,
정병두,2024.8.30 11:00,31.2,180,2.2,792,769,0,35.2,100,412,0,
정병두,2024.8.30 12:00,32.3,180,0.4,841,1064,0,36.3,99.9,415,0,
정병두,2024.8.30 13:00,32.5,180,1.5,898,1364,0,38.1,100,413,0,
정병두,2024.8.30 14:00,33.4,180,1.1,804,1657,0,38.4,99.7,415,0,
정병두,2024.8.30 15:00,34.1,180,1.1,678,1906,0,38,98.7,408,0,
